"A 'No Parking' sign at a certain location means","C. You may stop temporarily to load or unload passengers",false
"A 'No Parking' sign at a certain location means","D. You may not park your vehicle here",true
"In what position on the roadway must you be before making a left turn from a one-way traffic street?","A. Close to the right-hand side of the roadway",false
"In what position on the roadway must you be before making a left turn from a one-way traffic street?","B. Close to the centre line of the roadway",false
"In what position on the roadway must you be before making a left turn from a one-way traffic street?","C. Close to the left side of the roadway",true
"In what position on the roadway must you be before making a left turn from a one-way traffic street?","D. Does not matter",false
"When lights are required, drivers are required to use low beam headlights?","A. Within 1 km (0.6 mile) of the approach of another vehicle",false
"When lights are required, drivers are required to use low beam headlights?","B. Within 150 m (500 ft.) of the approach of another vehicle",true
"When lights are required, drivers are required to use low beam headlights?","C. Within 300 m (1000 ft.) of the approach of another vehicle",false
"When lights are required, drivers are required to use low beam headlights?","D. This is a safety practice, not a law",false
"As a level two (G2) driver your alcohol level must not be over","A. 0.08%",false
"As a level two (G2) driver your alcohol level must not be over","B. 0.05%",false
"As a level two (G2) driver your alcohol level must not be over","C. 0.02%",false
"As a level two (G2) driver your alcohol level must not be over","D. 0.00%",true
"Overdriving your headlights at night is dangerous because","A. You are driving too fast",false
"Overdriving your headlights at night is dangerous because","B. Your headlights are too bright",false
"Overdriving your headlights at night is dangerous because","C. You cannot stop within the distance that you can see",true
"Overdriving your headlights at night is dangerous because","D. It is not good for the car battery",false
"If you want to pass a motorcycle, you should","A. Honk your horn before you pass",false
"If you want to pass a motorcycle, you should","B. Turn on your high-beam lights before you pass",false
"If you want to pass a motorcycle, you should","C. Pass just as you would with another car",true
"If you want to pass a motorcycle, you should","D. Use half of their lane to pass",false
"If you are a teenage driver aged 19 or under and in the first six months of receiving your G2 licence, how many passengers are you allowed to carry between midnight and 5 a.m.?","A. 3 passengers aged 19 or under",false
"If you are a teenage driver aged 19 or under and in the first six months of receiving your G2 licence, how many passengers are you allowed to carry between midnight and 5 a.m.?","B. No passengers aged 19 or under",false
"If you are a teenage driver aged 19 or under and in the first six months of receiving your G2 licence, how many passengers are you allowed to carry between midnight and 5 a.m.?","C. 1 passenger aged 19 or under (no restrictions for passengers the age of 20 and over)",true
"If you are a teenage driver aged 19 or under and in the first six months of receiving your G2 licence, how many passengers are you allowed to carry between midnight and 5 a.m.?","D. 2 passengers aged 19 or under",false
"Unless otherwise posted, the maximum speed limit allowed in cities, town, villages and built-up area is","A. 30 km/h (20 m.p.h.)",false
"Unless otherwise posted, the maximum speed limit allowed in cities, town, villages and built-up area is","B. 50 km/h (30 m.p.h.)",true
"Unless otherwise posted, the maximum speed limit allowed in cities, town, villages and built-up area is","C. 40 km/h (25 m.p.h.)",false
"Unless otherwise posted, the maximum speed limit allowed in cities, town, villages and built-up area is","D. 60 km/h (35 m.p.h.)",false
"At an intersection where there is a flashing amber (yellow) traffic light, you must","A. Stop if making a right turn",false
"At an intersection where there is a flashing amber (yellow) traffic light, you must","B. Continue at the same speed",false
"At an intersection where there is a flashing amber (yellow) traffic light, you must","C. Stop if making a left turn",false
"At an intersection where there is a flashing amber (yellow) traffic light, you must","D. Slow down and proceed with caution",true
"Under what circumstances may a driver’s licence be cancelled?","A. For failure to attend a re-examination",false
"Under what circumstances may a driver’s licence be cancelled?","B. For possession of an altered driver’s licence",false
"Under what circumstances may a driver’s licence be cancelled?","C. For failure to satisfactorily complete a driver re-examination",false
"Under what circumstances may a driver’s licence be cancelled?","D. Any or all of the above",true
"As a level one (G1) driver, you must be accompanied by a class G or higher licensed driver, who has the following driving experience more than","A. Three years",false
"As a level one (G1) driver, you must be accompanied by a class G or higher licensed driver, who has the following driving experience more than","B. Four years",true
"As a level one (G1) driver, you must be accompanied by a class G or higher licensed driver, who has the following driving experience more than","C. Eight years",false
"As a level one (G1) driver, you must be accompanied by a class G or higher licensed driver, who has the following driving experience more than","D. Six years",false
"To what penalties is a driver liable who is convicted of driving while disqualified?","A. A fine of $500 or imprisonment for six months or both",false
"To what penalties is a driver liable who is convicted of driving while disqualified?","B. Impoundment of the motor vehicle being operated for three months",false
"To what penalties is a driver liable who is convicted of driving while disqualified?","C. An additional 6-month period of suspension of driving privilege",false
"To what penalties is a driver liable who is convicted of driving while disqualified?","D. Any or all of the above",true
"When the traffic signal-light facing you is red and you intend to go straight through the intersection, what must you do?","A. Stop, give pedestrians the right-of-way, then proceed with caution",false
"When the traffic signal-light facing you is red and you intend to go straight through the intersection, what must you do?","B. Stop, proceed when the way is clear",false
"When the traffic signal-light facing you is red and you intend to go straight through the intersection, what must you do?","C. Slow down, proceed when the way is clear",false
"When the traffic signal-light facing you is red and you intend to go straight through the intersection, what must you do?","D. Stop, proceed only when the signal turns green and when the way is clear",true
"If you are involved in a reportable accident how soon must you make a report to your nearest provincial or municipal police officer?","A. At once",true
"If you are involved in a reportable accident how soon must you make a report to your nearest provincial or municipal police officer?","B. Within 24 hours",false
"If you are involved in a reportable accident how soon must you make a report to your nearest provincial or municipal police officer?","C. Within 48 hours",false
"If you are involved in a reportable accident how soon must you make a report to your nearest provincial or municipal police officer?","D. Within 72 hours",false
"If a traffic signal changes while a pedestrian is still in the street, which of the following has the right-of-way?","A. Motorists making turns",false
"If a traffic signal changes while a pedestrian is still in the street, which of the following has the right-of-way?","B. The pedestrian",true
"If a traffic signal changes while a pedestrian is still in the street, which of the following has the right-of-way?","C. Motorists coming from his right",false
"If a traffic signal changes while a pedestrian is still in the street, which of the following has the right-of-way?","D. Motorists coming from his left",false
"When lights are required, drivers must use lower beam headlights when following another vehicle","A. Within 30 m (100 ft.)",false
"When lights are required, drivers must use lower beam headlights when following another vehicle","B. Within 60 m (200 ft.)",true
"When lights are required, drivers must use lower beam headlights when following another vehicle","C. Within 120 m (400 ft.)",false
"When lights are required, drivers must use lower beam headlights when following another vehicle","D. This only applies when approaching another vehicle",false
"While travelling on a highway, the driver of a motor vehicle is not permitted to carry, in a house or boat trailer","A. Firearms",false
"While travelling on a highway, the driver of a motor vehicle is not permitted to carry, in a house or boat trailer","B. Flammable material",false
"While travelling on a highway, the driver of a motor vehicle is not permitted to carry, in a house or boat trailer","C. Persons (Passenger)",true
"While travelling on a highway, the driver of a motor vehicle is not permitted to carry, in a house or boat trailer","D. Pets",false
"When on streets designed for two-way traffic, you hear the siren of an emergency vehicle, what does the law require you to do?","A. Speed up and get out of the way",false
"When on streets designed for two-way traffic, you hear the siren of an emergency vehicle, what does the law require you to do?","B. Signal the driver to pass",false
"When on streets designed for two-way traffic, you hear the siren of an emergency vehicle, what does the law require you to do?","C. Pull to the right as far as possible and stop",true
"When on streets designed for two-way traffic, you hear the siren of an emergency vehicle, what does the law require you to do?","D. Continue at the same speed",false
"Which of the following has the right-of-way over all others at an intersection when the signal light is green?","A. Pedestrians crossing against the light",false
"Which of the following has the right-of-way over all others at an intersection when the signal light is green?","B. Pedestrians crossing with the light",true
"Which of the following has the right-of-way over all others at an intersection when the signal light is green?","C. Vehicles turning right",false
"Which of the following has the right-of-way over all others at an intersection when the signal light is green?","D. Vehicles turning left",false
"What insurance protection does the owner get who pays the uninsured motor vehicle fee?","A. $10,000 insurance coverage",false
"What insurance protection does the owner get who pays the uninsured motor vehicle fee?","B. $20,000 insurance coverage",false
"What insurance protection does the owner get who pays the uninsured motor vehicle fee?","C. $35,000 insurance coverage",false
"What insurance protection does the owner get who pays the uninsured motor vehicle fee?","D. No insurance protection whatever",true
"When approaching a railway crossing at which an electrical or mechanical signal device is warning of the approach of a train you must","A. Stop not less than 1.5 m (5 ft.) from the nearest rail",false
"When approaching a railway crossing at which an electrical or mechanical signal device is warning of the approach of a train you must","B. Increase speed and cross tracks as quickly as possible",false
"When approaching a railway crossing at which an electrical or mechanical signal device is warning of the approach of a train you must","C. Stop not less than 5 m (15 ft.) from the nearest rail",true
"When approaching a railway crossing at which an electrical or mechanical signal device is warning of the approach of a train you must","D. Slow down and proceed with caution",false
"Upon approaching a Yield-sign, what does the law require you to do?","A. Slow down, stop if necessary, and yield right-of-way",true
"Upon approaching a Yield-sign, what does the law require you to do?","B. Stop, then enter traffic slowly",false
"Upon approaching a Yield-sign, what does the law require you to do?","C. Stop, then enter traffic quickly",false
"Upon approaching a Yield-sign, what does the law require you to do?","D. Speed up and force your way into traffic",false
"When does the law require lights on vehicles to be turned on?","A. Between sunset and sunrise",false
"When does the law require lights on vehicles to be turned on?","B. Between dusk and dawn and at any other time you cannot see clearly for a distance of 150 m (500 ft.)",false
"When does the law require lights on vehicles to be turned on?","C. Between half an hour before sunset to half an hour after sunrise and at any other time you cannot see clearly for a distance of 150 m (500 ft.)",true
"When does the law require lights on vehicles to be turned on?","D. No specified time",false
"A person whose driver’s licence is under suspension, may","A. Operate a motor vehicle in a case of extreme emergency",false
"A person whose driver’s licence is under suspension, may","B. Operate a motor vehicle to and from work",false
"A person whose driver’s licence is under suspension, may","C. Operate a motor vehicle when accompanied by a licensed driver",false
"A person whose driver’s licence is under suspension, may","D. Not operate a motor vehicle under any conditions",true
"If the signal light changes from green to amber as you approach an intersection, what should you do?","A. Stop. If a stop cannot be made safely proceed with caution",true
"If the signal light changes from green to amber as you approach an intersection, what should you do?","B. Speed up to clear the intersection as quickly as possible",false
"If the signal light changes from green to amber as you approach an intersection, what should you do?","C. Continue through the intersection without slowing or stopping",false
"If the signal light changes from green to amber as you approach an intersection, what should you do?","D. Sound horn to warn pedestrians and other drivers that you do not intend to stop",false
"When a streetcar is stopped to take on or discharge passengers, where there is no safety zone, what does the law require you to do before passing the streetcar?","A. Stop behind the rear of the streetcar and then proceed",false
"When a streetcar is stopped to take on or discharge passengers, where there is no safety zone, what does the law require you to do before passing the streetcar?","B. Sound horn and pass with caution",false
"When a streetcar is stopped to take on or discharge passengers, where there is no safety zone, what does the law require you to do before passing the streetcar?","C. Pass on the left side when the way is clear",false
"When a streetcar is stopped to take on or discharge passengers, where there is no safety zone, what does the law require you to do before passing the streetcar?","D. Stop 2 m (6 ft.) behind the rearmost door where passengers are getting on or off, and proceed only when it is safe to do so",true
"On a roadway where traffic is moving in both directions, in what position must you be before making a left turn?","A. Close to the right-hand side of the roadway",false
"On a roadway where traffic is moving in both directions, in what position must you be before making a left turn?","B. Close to the left side of the roadway",false
"On a roadway where traffic is moving in both directions, in what position must you be before making a left turn?","C. Immediately to the right of the centre line of the roadway",true
"On a roadway where traffic is moving in both directions, in what position must you be before making a left turn?","D. Does not matter",false
"Which of the following penalties can the court impose on a person convicted of driving 50 km/h (30 m.p.h.) or more over the speed limit?","A. Suspension of licence for 6 months",false
"Which of the following penalties can the court impose on a person convicted of driving 50 km/h (30 m.p.h.) or more over the speed limit?","B. Suspension of licence for 30 days",true
"Which of the following penalties can the court impose on a person convicted of driving 50 km/h (30 m.p.h.) or more over the speed limit?","C. Impoundment of motor vehicle for 6 months",false
"Which of the following penalties can the court impose on a person convicted of driving 50 km/h (30 m.p.h.) or more over the speed limit?","D. Imprisonment of person for 6 months",false
"Before moving your car from a parked position, you should","A. Check other traffic, signal and pull from the curb quickly",false
"Before moving your car from a parked position, you should","B. Honk your horn and pull from the curb slowly",false
"Before moving your car from a parked position, you should","C. Check other traffic, signal and pull from the curb when it is safe to do so",true
"Before moving your car from a parked position, you should","D. Signal and pull from the curb",false
"Should your right wheels drop off the roadway, what is the best way to get back on the roadway?","A. Steer hard to the left",false
"Should your right wheels drop off the roadway, what is the best way to get back on the roadway?","B. Apply brakes and steer hard to the left",false
"Should your right wheels drop off the roadway, what is the best way to get back on the roadway?","C. Take foot off gas pedal, turn back when vehicle has slowed",true
"Should your right wheels drop off the roadway, what is the best way to get back on the roadway?","D. Apply brakes to reduce speed",false
"When 15 or more Demerit Points have accumulated on a record, the driver’s licence is suspended","A. Automatically, and for 30 days from receipt of licence",true
"When 15 or more Demerit Points have accumulated on a record, the driver’s licence is suspended","B. At the discretion of the Ministry",false
"When 15 or more Demerit Points have accumulated on a record, the driver’s licence is suspended","C. Only if the licence is NOT used for business purposes",false
"When 15 or more Demerit Points have accumulated on a record, the driver’s licence is suspended","D. For 3 months",false
"Upon approaching a stop sign, a driver must","A. Slow down, sound horn and then proceed",false
"Upon approaching a stop sign, a driver must","B. Slow down, and if the way is clear, proceed",false
"Upon approaching a stop sign, a driver must","C. Stop, sound horn, then proceed",false
"Upon approaching a stop sign, a driver must","D. Stop, and when it is safe to do so, proceed",true
"You should under all condition drive at a speed which will allow you to","A. Stop within 90 metres (300 feet)",false
"You should under all condition drive at a speed which will allow you to","B. Stop within 60 metres (200 feet)",false
"You should under all condition drive at a speed which will allow you to","C. Stop within a safe distance",true
"You should under all condition drive at a speed which will allow you to","D. Stop within 150 metres (500 feet)",false
"The Ministry of Transportation and Communications may suspend a licence after a 9 Demerit Point interview","A. If a driver fails to give satisfactory reasons why their licence should not be suspended",true
"The Ministry of Transportation and Communications may suspend a licence after a 9 Demerit Point interview","B. If a driver does not have at least 5 years driving experience",false
"The Ministry of Transportation and Communications may suspend a licence after a 9 Demerit Point interview","C. If the licence is not needed for business reasons",false
"The Ministry of Transportation and Communications may suspend a licence after a 9 Demerit Point interview","D. The Ministry is not permitted to suspend a licence before the 15-point level is reached",false
"A 'School Bus', with red signal lights flashing, is stopped on a highway that has no median strip. What does the law require you to do when meeting or overtaking the bus?","A. Does not matter provided you sound horn",false
"A 'School Bus', with red signal lights flashing, is stopped on a highway that has no median strip. What does the law require you to do when meeting or overtaking the bus?","B. Stop until the bus proceeds or the signal lights are no longer flashing",true
"A 'School Bus', with red signal lights flashing, is stopped on a highway that has no median strip. What does the law require you to do when meeting or overtaking the bus?","C. Wait for approaching vehicles to pass",false
"A 'School Bus', with red signal lights flashing, is stopped on a highway that has no median strip. What does the law require you to do when meeting or overtaking the bus?","D. Reduce speed and pass with care",false
"When the driver of another vehicle is about to overtake and pass your vehicle you must","A. Move to the right and allow such vehicle to pass",true
"When the driver of another vehicle is about to overtake and pass your vehicle you must","B. Speed up so that passing is not necessary",false
"When the driver of another vehicle is about to overtake and pass your vehicle you must","C. Signal the other driver not to pass",false
"When the driver of another vehicle is about to overtake and pass your vehicle you must","D. Move to the left to prevent passing",false
"When descending a steep hill a good safe-driving practice is to","A. Gear down and allow the engine to assist in braking",true
"When descending a steep hill a good safe-driving practice is to","B. Turn off the ignition",false
"When descending a steep hill a good safe-driving practice is to","C. Place the gear shift in neutral",false
"When descending a steep hill a good safe-driving practice is to","D. Disengage the clutch and coast",false
"A driver may be required to attend an interview and re-examination of his driving ability","A. When 9 demerit points have been accumulated",true
"A driver may be required to attend an interview and re-examination of his driving ability","B. When 3 demerit points have been accumulated",false
"A driver may be required to attend an interview and re-examination of his driving ability","C. When 6 demerit points have been accumulated",false
"A driver may be required to attend an interview and re-examination of his driving ability","D. When 15 demerit points have been accumulated",false
"When may you lend your driver’s licence?","A. Never",true
"When may you lend your driver’s licence?","B. To another person who is learning to drive",false
"When may you lend your driver’s licence?","C. For identification purposes only",false
"When may you lend your driver’s licence?","D. In emergencies",false
"When a red signal light with a green arrow is shown at an intersection it means","A. Stop and wait for the green light before making a turn in the direction of the arrow",false
"When a red signal light with a green arrow is shown at an intersection it means","B. Proceed with caution in the direction of the arrow, yielding right-of-way to pedestrians and other traffic",true
"When a red signal light with a green arrow is shown at an intersection it means","C. Stop and then proceed",false
"When a red signal light with a green arrow is shown at an intersection it means","D. The green arrow is a signal for pedestrians only",false
"Are drivers responsible for their passengers buckling up?","A. Only if passengers are over sixteen years of age",false
"Are drivers responsible for their passengers buckling up?","B. Only if passengers are from five years of age up to sixteen",true
"Are drivers responsible for their passengers buckling up?","C. Only if the passengers are in the front seat",false
"Are drivers responsible for their passengers buckling up?","D. Only if passengers are over eighteen years of age",false
"When it is safe to do so, passing other vehicles on the right side","A. Is permitted on any street or highway",false
"When it is safe to do so, passing other vehicles on the right side","B. Is permitted providing it is possible to do so by driving on the shoulder of the road",false
"When it is safe to do so, passing other vehicles on the right side","C. Is not permitted under any circumstances",false
"When it is safe to do so, passing other vehicles on the right side","D. Is permitted when the street or highway has two or more lanes for traffic in the direction you are travelling",true
"When a right turn against a red signal light is permitted, what does the law require you to do before entering the intersection and making the turn?","A. Slow down, proceed with caution",false
"When a right turn against a red signal light is permitted, what does the law require you to do before entering the intersection and making the turn?","B. Stop, then edge into traffic",false
"When a right turn against a red signal light is permitted, what does the law require you to do before entering the intersection and making the turn?","C. Stop, signal, make the turn so as not to interfere with other traffic, including pedestrians",true
"When a right turn against a red signal light is permitted, what does the law require you to do before entering the intersection and making the turn?","D. Slow down, signal and turn",false
"A flashing green light at an intersection, where turns to the left and right are permitted, means","A. You may turn to the left if the way is clear",false
"A flashing green light at an intersection, where turns to the left and right are permitted, means","B. You may turn to the right if the way is clear",false
"A flashing green light at an intersection, where turns to the left and right are permitted, means","C. You may proceed straight through if the way is clear",false
"A flashing green light at an intersection, where turns to the left and right are permitted, means","D. You may do any of the above",true
"Under which of the following conditions is it dangerous and unlawful to make a 'U' turn?","A. Upon a curve or on a hill where there is a clear view of less than 150 m (500 ft.) in either direction",false
"Under which of the following conditions is it dangerous and unlawful to make a 'U' turn?","B. On a railway crossing or within 30 m (100 ft.) of a railway crossing",false
"Under which of the following conditions is it dangerous and unlawful to make a 'U' turn?","C. Within 150 m (500 ft.) of a bridge, viaduct or tunnel if driver’s view is obstructed",false
"Under which of the following conditions is it dangerous and unlawful to make a 'U' turn?","D. Under all of the above conditions",true
"If you are involved in an accident in which someone is injured you must","A. Report the accident at once to the nearest provincial or municipal police officer",true
"If you are involved in an accident in which someone is injured you must","B. Report the accident within 48 hours to the nearest provincial or municipal police officer",false
"If you are involved in an accident in which someone is injured you must","C. Report the accident to your insurance company only",false
"If you are involved in an accident in which someone is injured you must","D. Report the accident to the Ministry of Transportation and Communications only",false
"How soon after a licensed driver changes his/her name or address is he/she required to notify the Ministry of Transportation and Communications?","A. Within 6 days",true
"How soon after a licensed driver changes his/her name or address is he/she required to notify the Ministry of Transportation and Communications?","B. Within 15 days",false
"How soon after a licensed driver changes his/her name or address is he/she required to notify the Ministry of Transportation and Communications?","C. Within 30 days",false
"How soon after a licensed driver changes his/her name or address is he/she required to notify the Ministry of Transportation and Communications?","D. At any time prior to renewal of licence",false
"A flashing red signal light at an intersection means","A. Slow down and drive with increased caution",false
"A flashing red signal light at an intersection means","B. Slow down and if necessary yield right-of-way to cars approaching from the left or right",false
"A flashing red signal light at an intersection means","C. Signal light is out of order, proceed with caution",false
"A flashing red signal light at an intersection means","D. Stop. Proceed only when it is safe to do so",true
"When entering a freeway you should","A. Stop on acceleration lane, wait for an opening, then enter the freeway rapidly",false
"When entering a freeway you should","B. Accelerate quickly to freeway speed and merge with freeway traffic",true
"When entering a freeway you should","C. Slow down, and then enter freeway at a sharp angle",false
"When entering a freeway you should","D. Drive slowly and be prepared to stop for freeway traffic",false
"A flashing blue light mounted on a motor vehicle indicates","A. A motor vehicle carrying explosives",false
"A flashing blue light mounted on a motor vehicle indicates","B. Snow removal equipment",true
"A flashing blue light mounted on a motor vehicle indicates","C. An ambulance",false
"A flashing blue light mounted on a motor vehicle indicates","D. A police emergency vehicle",false
"When a truck becomes disabled on the highway, where the speed limit is in excess of 60 km/h flares or reflectors must be placed approximately what distance ahead of and to the rear of the disabled vehicle?","A. 15 m (50 ft.)",false
"When a truck becomes disabled on the highway, where the speed limit is in excess of 60 km/h flares or reflectors must be placed approximately what distance ahead of and to the rear of the disabled vehicle?","B. 30 m (100 ft.)",true
"When a truck becomes disabled on the highway, where the speed limit is in excess of 60 km/h flares or reflectors must be placed approximately what distance ahead of and to the rear of the disabled vehicle?","C. 60 m (200 ft.)",false
"When a truck becomes disabled on the highway, where the speed limit is in excess of 60 km/h flares or reflectors must be placed approximately what distance ahead of and to the rear of the disabled vehicle?","D. 90 m (300 ft.)",false
"When selling a motor vehicle to another person, you, the seller, should","A. Notify the Ministry of the change of ownership within six days of date of sale",false
"When selling a motor vehicle to another person, you, the seller, should","B. Go with the buyer to a vehicle licence issuing office to carry out the change of ownership",false
"When selling a motor vehicle to another person, you, the seller, should","C. If selling the vehicle without a Safety Standards Certificate, you must return the vehicle licence plates and motor vehicle permit to a vehicle licence issuing office and obtain an Unfit Vehicle Permit in the buyer’s name",false
"When selling a motor vehicle to another person, you, the seller, should","D. All of the above",true
"At 15 Demerit points, your licence is suspended, after 30 days, the number of points on the driver’s record is","A. Reduce to 7 points",true
"At 15 Demerit points, your licence is suspended, after 30 days, the number of points on the driver’s record is","B. Reduce to 0 points",false
"At 15 Demerit points, your licence is suspended, after 30 days, the number of points on the driver’s record is","C. Reduce to 5 points",false
"At 15 Demerit points, your licence is suspended, after 30 days, the number of points on the driver’s record is","D. None of the above",false
"When approaching an intersection where a traffic signal light is red and a policeman motions you to go through, you should","A. Wait for the light to turn green",false
"When approaching an intersection where a traffic signal light is red and a policeman motions you to go through, you should","B. Obey the policeman’s signal and go through at once",true
"When approaching an intersection where a traffic signal light is red and a policeman motions you to go through, you should","C. Call the policeman’s attention to the red light",false
"When approaching an intersection where a traffic signal light is red and a policeman motions you to go through, you should","D. Stop to make sure he wants you to go through",false
"Except when passing, what distance must be maintained between commercial vehicles travelling in the same direction on the highway outside a city, town or village?","A. 30 m (100 ft.)",false
"Except when passing, what distance must be maintained between commercial vehicles travelling in the same direction on the highway outside a city, town or village?","B. 60 m (200 ft.)",false
"Except when passing, what distance must be maintained between commercial vehicles travelling in the same direction on the highway outside a city, town or village?","C. 120 m (400 ft.)",true
"Except when passing, what distance must be maintained between commercial vehicles travelling in the same direction on the highway outside a city, town or village?","D. 150 m (500 ft.)",false
"At what level of alcohol in the blood can you be convicted of being an impaired driver?","A. 0.03%",false
"At what level of alcohol in the blood can you be convicted of being an impaired driver?","B. 0.05%",false
"At what level of alcohol in the blood can you be convicted of being an impaired driver?","C. 0.08%",true
"At what level of alcohol in the blood can you be convicted of being an impaired driver?","D. 1.0%",false
"If you are convicted of drinking and driving, you will lose your driver’s licence on the first offence for","A. 1 month",false
"If you are convicted of drinking and driving, you will lose your driver’s licence on the first offence for","B. 3 months",false
"If you are convicted of drinking and driving, you will lose your driver’s licence on the first offence for","C. 6 months",false
"If you are convicted of drinking and driving, you will lose your driver’s licence on the first offence for","D. 1 year",true
"Unless otherwise posted, the maximum speed limit on the highway outside of a city, town, village or built-up area is","A. 100 kilometres (60 miles) an hour",false
"Unless otherwise posted, the maximum speed limit on the highway outside of a city, town, village or built-up area is","B. 80 kilometres (50 miles) an hour",true
"Unless otherwise posted, the maximum speed limit on the highway outside of a city, town, village or built-up area is","C. 60 kilometres (40 miles) an hour",false
"Unless otherwise posted, the maximum speed limit on the highway outside of a city, town, village or built-up area is","D. 50 kilometres (30 miles) an hour",false
"If you are driving and suddenly one of your tires blows out, you should","A. Concentrate on steering",false
"If you are driving and suddenly one of your tires blows out, you should","B. Take your foot off the gas pedal to slow down",false
"If you are driving and suddenly one of your tires blows out, you should","C. Bring the vehicle to a stop off the road",false
"If you are driving and suddenly one of your tires blows out, you should","D. All of the above",true
"When a streetcar is stopped to pick up or discharge passengers and there is a safety island, what does the law require you to do?","A. Pass with caution",true
"When a streetcar is stopped to pick up or discharge passengers and there is a safety island, what does the law require you to do?","B. Stop at least 2 metres behind the safety island",false
"When a streetcar is stopped to pick up or discharge passengers and there is a safety island, what does the law require you to do?","C. Sound horn and pass with caution",false
"When a streetcar is stopped to pick up or discharge passengers and there is a safety island, what does the law require you to do?","D. Pass on the left side of the streetcar",false
"When getting out of your car on a busy street you should open your door","A. After making the proper signals",false
"When getting out of your car on a busy street you should open your door","B. When you turn on your four-way flashers",false
"When getting out of your car on a busy street you should open your door","C. When you are sure that it can be done safely",true
"When getting out of your car on a busy street you should open your door","D. It does not matter",false
"When exiting an expressway you should","A. Give yourself plenty of time to move over to the lane closest to the exit",false
"When exiting an expressway you should","B. Slow down smoothly to the posted speed limit or to the prevailing speed on the exit ramp",false
"When exiting an expressway you should","C. Signal and maintain your speed until you are off the ramp",false
"When exiting an expressway you should","D. All of the above",true
"If two drivers enter an intersection from opposite directions at the same time, one going straight while the other is turning left, which vehicle has the right-of-way?","A. The one turning left",false
"If two drivers enter an intersection from opposite directions at the same time, one going straight while the other is turning left, which vehicle has the right-of-way?","B. The one going straight",true
"If two drivers enter an intersection from opposite directions at the same time, one going straight while the other is turning left, which vehicle has the right-of-way?","C. Both have the right-of-way",false
"If two drivers enter an intersection from opposite directions at the same time, one going straight while the other is turning left, which vehicle has the right-of-way?","D. Both cars should stop first and then proceed",false
"You should reduce your speed below the posted speed limits for which of the following reasons","A. Bad weather conditions",false
